1,1,1,false,19/08/2024,12,19/08/2025,SOLAR,100000,56042.05000000002,10,8791.59
2,1,1,true,19/08/2024,24,19/08/2026,AUTOMOVIL,30000,0,10,1384.35
3,2,2,false,20/08/2024,5,20/01/2025,SOLAR,10,10,10,2.05
4,2,2,false,20/08/2024,5,20/01/2025,SOLAR,10,10,10,2.05
5,1,2,false,20/08/2024,12,20/08/2025,SOLAR,100000,56042.05000000002,10,8791.59
10,2,2,true,21/08/2024,12,21/08/2025,SOLAR,100000,100000,10,8791.59
6,2,2,true,21/08/2024,14,21/10/2025,SOLAR,10000,10000,10,759.73
7,1,2,true,22/08/2024,12,22/08/2025,SOLAR,10000,10000,10,879.16
8,2,2,true,22/08/2024,120,22/08/2034,AUTOMOVIL,5000000,5000000,10,66075.37
9,2,1,true,22/08/2024,48,22/08/2028,SOLAR,10000,10000,10,253.63
11,2,1,true,22/08/2024,7,22/03/2025,SOLAR,10000,10000,10,1476.59
12,1,1,true,22/08/2024,124,22/12/2034,AUTOMOVIL,1000000000,1000000000,15,15909318.97
13,2,2,true,22/08/2024,48,22/08/2028,SOLAR,500000,500000,10,12681.29
14,2,2,true,22/08/2024,48,22/08/2028,Garantía no encontrada,500000,500000,10,12681.29
15,2,2,true,22/08/2024,21,22/05/2026,SOLAR,300000000,300000000,10,15631444.66
